Category 1,Category 2,Value
Bonds,Bonds,1.0
Copper,Bonds,0.3976885033999253
Crude_Oil,Bonds,-0.2098501422792375
Gold,Bonds,0.8418648235925564
Nasdaq,Bonds,0.7375878945395704
Platinum,Bonds,0.4375058869850589
S&P_500,Bonds,0.6192295802268859
Silver,Bonds,0.7234761885479439
Bonds,Copper,0.3976885033999253
Copper,Copper,1.0
Crude_Oil,Copper,0.661821070656409
Gold,Copper,0.6263265345630982
Nasdaq,Copper,0.8547721822580748
Platinum,Copper,0.7546314659261001
S&P_500,Copper,0.8997725137325011
Silver,Copper,0.7732815930581672
Bonds,Crude_Oil,-0.2098501422792375
Copper,Crude_Oil,0.661821070656409
Crude_Oil,Crude_Oil,1.0
Gold,Crude_Oil,0.1707707846317108
Nasdaq,Crude_Oil,0.4041001135831946
Platinum,Crude_Oil,0.3246985698538925
S&P_500,Crude_Oil,0.5541527647144778
Silver,Crude_Oil,0.2356568224184731
Bonds,Gold,0.8418648235925564
Copper,Gold,0.6263265345630982
Crude_Oil,Gold,0.1707707846317108
Gold,Gold,1.0
Nasdaq,Gold,0.8517404826405494
Platinum,Gold,0.5347329799949941
S&P_500,Gold,0.7854109025779911
Silver,Gold,0.8680804808705861
Bonds,Nasdaq,0.7375878945395704
Copper,Nasdaq,0.8547721822580748
Crude_Oil,Nasdaq,0.4041001135831946
Gold,Nasdaq,0.8517404826405494
Nasdaq,Nasdaq,1.0
Platinum,Nasdaq,0.6463187023482703
S&P_500,Nasdaq,0.9762847051857808
Silver,Nasdaq,0.8571624869537319
Bonds,Platinum,0.4375058869850589
Copper,Platinum,0.7546314659261001
Crude_Oil,Platinum,0.3246985698538925
Gold,Platinum,0.5347329799949941
Nasdaq,Platinum,0.6463187023482703
Platinum,Platinum,1.0
S&P_500,Platinum,0.6657009844919812
Silver,Platinum,0.7970738001708338
Bonds,S&P_500,0.6192295802268859
Copper,S&P_500,0.8997725137325011
Crude_Oil,S&P_500,0.5541527647144778
Gold,S&P_500,0.7854109025779911
Nasdaq,S&P_500,0.9762847051857808
Platinum,S&P_500,0.6657009844919812
S&P_500,S&P_500,1.0
Silver,S&P_500,0.8073163775343776
Bonds,Silver,0.7234761885479439
Copper,Silver,0.7732815930581672
Crude_Oil,Silver,0.2356568224184731
Gold,Silver,0.8680804808705861
Nasdaq,Silver,0.8571624869537319
Platinum,Silver,0.7970738001708338
S&P_500,Silver,0.8073163775343776
Silver,Silver,1.0
