Date,Open,High,Low,Close
1990-12-31,5.28,5.45,3.98,4.25
1991-12-31,4.25,4.64,3.5,3.91
1992-12-31,3.92,4.41,3.63,3.69
1993-12-31,3.69,5.47,3.51,5.1
1994-12-31,5.1,5.85,4.52,4.88
1995-12-31,4.88,6.14,4.3,5.18
1996-12-31,5.18,5.87,4.68,4.82
1997-12-31,4.78,6.39,4.18,5.99
1998-12-31,5.95,7.83,4.61,5.04
1999-12-31,5.05,5.95,4.85,5.42
2000-12-31,5.42,5.56,4.56,4.6
2001-12-31,4.59,4.93,4.04,4.62
2002-12-31,4.62,5.19,4.22,4.67
2003-12-31,4.67,5.92,4.32,5.91
2004-12-31,5.91,8.49,5.27,6.8
2005-12-31,6.8,9.22,6.31,8.82
2006-12-31,8.82,15.22,8.69,12.87
2007-12-31,12.91,16.18,11.05,14.78
2008-12-31,14.77,21.35,8.42,11.28
2009-12-31,11.37,19.45,10.34,16.84
2010-12-31,16.88,30.93,14.65,30.86
2011-12-31,30.88,49.8,26.07,27.835
2012-12-31,28.01,37.495,26.125,30.27
2013-12-31,30.24,32.445,18.18,19.437
2014-12-31,19.487,22.169,14.68,15.67
2015-12-31,15.862,18.45,13.648,13.8425
2016-12-31,13.93,21.12,13.75,15.95
2017-12-31,15.94,18.65,14.37,16.9545
2018-12-31,16.9815,17.7025,13.9,15.4935
2019-12-31,15.4885,19.65,14.3,17.853
2020-12-31,17.8535,29.86,11.5895,26.389
2021-12-31,26.64,30.03,21.4225,23.2665
2022-12-31,23.342,26.9295,17.5665,23.935
2023-12-31,24.105,26.137,19.905,23.7955
