Date,Gold,Silver,Inflation
1990-12-31,396.2,4.25,5.39795643990325
1991-12-31,355.2,3.91,4.23496396453849
1992-12-31,333.1,3.69,3.02881967814969
1993-12-31,390.5,5.1,2.95165696638559
1994-12-31,382.6,4.88,2.60744159215457
1995-12-31,386.85,5.18,2.80541968853654
1996-12-31,369.45,4.82,2.93120419993445
1997-12-31,288.8,5.99,2.33768993730738
1998-12-31,288.25,5.04,1.55227909874361
1999-12-31,288.25,5.42,2.18802719697358
2000-12-31,272.25,4.6,3.37685727149929
2001-12-31,278.95,4.62,2.82617111885407
2002-12-31,342.75,4.67,1.58603162650601
2003-12-31,417.25,5.91,2.27009497336115
2004-12-31,437.9,6.8,2.67723669309172
2005-12-31,516.5,8.82,3.3927468454955
2006-12-31,635.7,12.87,3.22594410070406
2007-12-31,833.15,14.78,2.85267248150136
2008-12-31,879.05,11.28,3.83910029665096
2009-12-31,1096.6,16.84,-0.355546266299717
2010-12-31,1420.55,30.86,1.64004344238988
2011-12-31,1564.81,27.835,3.15684156862202
2012-12-31,1676.4,30.27,2.06933726526057
2013-12-31,1204.12,19.437,1.46483265562717
2014-12-31,1183.0,15.67,1.62222297740827
2015-12-31,1061.46,13.8425,0.118627135552451
2016-12-31,1150.91,15.95,1.26158320570527
2017-12-31,1303.33,16.9545,2.1301100036598
2018-12-31,1282.56,15.4935,2.44258329692807
2019-12-31,1517.305,17.853,1.81221007526012
2020-12-31,1898.705,26.389,1.23358439630638
2021-12-31,1829.5,23.2665,4.69785886363742
2022-12-31,1823.48,23.935,8.00279982052121
2023-12-31,2063.235,23.7955,4.11633838374488
